uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
2006.000000,0.000000,0.000000,1.333330,1.778000,417.674000,0.000000,2006-01-01
2006.002686,0.000000,0.000000,3.442920,0.508914,417.775000,0.000000,2006-01-02
2006.005493,0.000000,0.000000,2.277900,3.809540,417.872000,0.000000,2006-01-03
2006.008179,0.000000,0.000000,3.277300,0.001829,417.973000,0.000000,2006-01-04
2006.010986,0.000000,0.000000,2.222300,0.000000,418.070000,0.000000,2006-01-05
2006.013672,0.000000,0.000000,2.606840,0.000000,418.167000,0.000000,2006-01-06
2006.016479,0.000000,0.000000,5.164790,0.000000,418.268000,0.000000,2006-01-07
2006.019165,0.000000,0.000000,2.444350,0.000000,418.364000,0.000000,2006-01-08
2006.021851,0.000000,0.000000,-0.860613,0.000000,418.465000,0.000000,2006-01-09
2006.024658,0.000000,0.000000,-1.779040,0.000000,418.562000,0.000000,2006-01-10
2006.027344,0.000000,0.000000,-1.888870,0.000000,418.663000,0.000000,2006-01-11
2006.030151,0.000000,0.000000,-1.661610,0.507746,418.760000,0.000000,2006-01-12
2006.032837,0.000000,0.000000,-0.506631,0.000051,418.857000,0.000000,2006-01-13
2006.035645,0.000000,0.000000,0.468816,0.000000,418.958000,0.000000,2006-01-14
2006.038330,0.000000,0.000000,2.166670,0.000000,419.054000,0.000000,2006-01-15
2006.041016,0.000000,0.000000,-0.387604,0.253721,419.155000,0.000000,2006-01-16
2006.043823,0.000000,0.000000,-3.833090,0.000000,419.252000,0.000000,2006-01-17
2006.046509,0.000000,0.000000,-1.460830,0.000000,419.353000,0.000000,2006-01-18
2006.049316,0.000000,0.000000,-0.612552,2.031210,419.450000,0.000000,2006-01-19
2006.052002,0.000000,0.000000,-3.555210,0.256972,419.547000,0.000000,2006-01-20
2006.054810,0.000000,0.000000,-2.444990,0.000000,419.648000,0.000000,2006-01-21
2006.057495,0.000000,0.000000,-2.944450,0.000000,419.744000,0.000000,2006-01-22
2006.060181,0.000000,0.000000,-2.729230,0.000000,419.845000,0.000000,2006-01-23
2006.062988,0.000000,0.000000,-1.600330,0.000000,419.942000,0.000000,2006-01-24
2006.065674,0.000000,0.000000,1.438150,0.000000,420.043000,0.000000,2006-01-25
2006.068481,0.000000,0.000000,1.665550,6.602600,420.140000,0.000000,2006-01-26
2006.071167,0.000000,0.000000,-1.155800,2.812080,420.236000,0.000000,2006-01-27
2006.073975,0.000000,0.000000,-2.413410,0.499364,420.338000,0.000000,2006-01-28
2006.076660,0.000000,0.000000,-3.666670,0.253975,420.434000,0.000000,2006-01-29
2006.079346,0.000000,0.000000,-0.611314,0.000178,420.535000,0.000000,2006-01-30
2006.082153,0.000000,0.000000,2.111110,0.000000,420.632000,0.000000,2006-01-31
2006.084839,0.000000,0.000000,2.111110,0.000000,420.733000,0.000000,2006-02-01
2006.087646,0.000000,0.000000,3.443620,1.269850,420.830000,0.000000,2006-02-02
2006.090332,0.000000,0.000000,1.777970,0.765810,420.926000,0.000000,2006-02-03
2006.093140,0.000000,0.000000,3.166170,0.000000,421.028000,0.000000,2006-02-04
2006.095825,0.000000,0.000000,2.166400,0.000000,421.124000,0.000000,2006-02-05
2006.098511,0.000000,0.000000,-2.384630,0.000000,421.225000,0.000000,2006-02-06
2006.101318,0.000000,0.000000,1.673010,0.000000,421.322000,0.000000,2006-02-07
2006.104004,0.000000,0.000000,2.210980,0.000000,421.423000,0.000000,2006-02-08
2006.106812,0.000000,0.000000,4.743500,0.000000,421.520000,0.000000,2006-02-09
2006.109497,0.000000,0.000000,5.944370,0.000000,421.616000,0.000000,2006-02-10
2006.112305,0.000000,0.000000,-3.586710,0.000000,421.717000,0.000000,2006-02-11
2006.114990,0.000000,0.000000,-4.444440,0.000000,421.814000,0.000000,2006-02-12
2006.117676,0.000000,0.000000,0.030518,0.000000,421.915000,0.000000,2006-02-13
2006.120483,0.000000,0.000000,3.944440,0.000000,422.012000,0.000000,2006-02-14
2006.123169,0.000000,0.000000,3.781780,0.000000,422.117000,0.000000,2006-02-15
2006.125977,0.000000,0.000000,-0.792053,0.507746,422.223000,0.000000,2006-02-16
2006.128662,0.000000,0.000000,-7.110590,0.000051,422.334000,0.000000,2006-02-17
2006.131470,0.000000,0.000000,-1.164580,0.000279,422.455000,0.000000,2006-02-18
2006.134155,0.000000,0.000000,-1.111100,0.254000,422.575000,0.000000,2006-02-19
2006.136841,0.000000,0.000000,-1.055600,0.000279,422.703000,0.000000,2006-02-20
2006.139648,0.000000,0.000000,-2.500000,0.000000,422.828000,0.000000,2006-02-21
2006.142334,0.000000,0.000000,-2.445790,0.000000,422.960000,0.000000,2006-02-22
2006.145142,0.000000,0.000000,0.097148,0.000000,423.089000,0.000000,2006-02-23
2006.147827,0.000000,0.000000,4.268100,0.000000,423.217000,0.000000,2006-02-24
2006.150635,0.000000,0.000000,5.244700,0.000000,423.352000,0.000000,2006-02-25
2006.153320,0.000000,0.000000,6.611110,0.000000,423.480000,0.000000,2006-02-26
2006.156006,0.000000,0.000000,6.222630,0.000000,423.613000,0.000000,2006-02-27
2006.158813,0.000000,0.000000,8.444130,0.000203,423.738000,0.000000,2006-02-28
2006.161499,0.000000,0.000000,6.056660,1.523290,423.866000,0.000000,2006-03-01
2006.164307,0.000000,0.000000,6.112860,0.000000,423.986000,0.000000,2006-03-02
2006.166992,0.000000,0.000000,7.434580,0.000000,424.101000,0.000000,2006-03-03
2006.169800,0.000000,0.000000,9.495540,0.000000,424.218000,0.000000,2006-03-04
2006.172485,0.000000,0.000000,5.500000,0.000000,424.324000,0.000000,2006-03-05
2006.175171,0.000000,0.000000,8.028990,0.000000,424.430000,0.000000,2006-03-06
2006.177979,0.000000,0.000000,8.944070,0.000279,424.524000,0.000000,2006-03-07
2006.180664,0.000000,0.000000,4.775010,2.031060,424.616000,0.000000,2006-03-08
2006.183472,0.000000,0.000000,0.532048,2.033930,424.696000,0.000000,2006-03-09
2006.186157,0.000000,0.000000,-0.601824,5.841590,424.768000,0.000000,2006-03-10
2006.188965,0.000000,0.000000,-2.888050,3.048000,424.834000,0.000000,2006-03-11
2006.191650,0.000000,0.000000,-1.666210,3.048000,424.888000,0.000000,2006-03-12
2006.194336,0.000000,0.000000,-0.001253,1.553130,424.933000,0.000000,2006-03-13
2006.197144,0.000000,0.000000,-1.222210,0.000127,424.967000,0.000000,2006-03-14
2006.199829,0.000000,0.000000,-1.059400,1.015540,424.989000,0.000000,2006-03-15
2006.202637,0.000000,0.000000,1.361690,0.758698,424.999000,0.000000,2006-03-16
2006.205322,0.000000,0.000000,3.318820,0.510032,424.998000,0.000000,2006-03-17
2006.208130,0.000000,0.000000,6.382970,0.007976,424.988000,0.000000,2006-03-18
2006.210815,0.000000,0.000000,1.111110,7.112000,424.970000,0.000000,2006-03-19
2006.213501,0.000000,0.000000,1.653200,2.347010,424.943000,0.000000,2006-03-20
2006.216309,0.000000,0.000000,2.666630,0.000102,424.910000,0.000000,2006-03-21
2006.218994,0.000000,0.000000,2.444550,0.761644,424.867000,0.000000,2006-03-22
2006.221802,0.000000,0.000000,3.574840,0.000000,424.819000,0.000000,2006-03-23
2006.224487,0.000000,0.000000,5.652680,0.000000,424.764000,0.000000,2006-03-24
2006.227295,0.000000,0.000000,8.319430,0.000000,424.700000,0.000000,2006-03-25
2006.229980,0.000000,0.000000,10.055600,0.000000,424.631000,0.000000,2006-03-26
2006.232666,0.000000,0.000000,3.673290,0.000000,424.553000,0.000000,2006-03-27
2006.235474,0.000000,0.000000,6.848790,0.001473,424.472000,0.000000,2006-03-28
2006.238159,0.000000,0.000000,8.610650,10.663200,424.381000,0.000000,2006-03-29
2006.240967,0.000000,0.000000,5.055760,1.240690,424.287000,0.000000,2006-03-30
2006.243652,0.000000,0.000000,5.608360,0.000051,424.189000,0.000000,2006-03-31
2006.246460,0.000000,0.000000,5.999690,0.000584,424.080000,0.000000,2006-04-01
2006.249146,0.000000,0.000000,5.722220,0.508000,423.971000,0.000000,2006-04-02
2006.251831,0.000000,0.000000,7.288320,0.000533,423.851000,0.000000,2006-04-03
2006.254639,0.000000,0.000000,12.135400,0.000000,423.732000,0.000000,2006-04-04
2006.257324,0.000000,0.000000,14.943700,0.000000,423.602000,0.000000,2006-04-05
2006.260132,0.000000,0.000000,6.785600,2.285390,423.473000,0.000000,2006-04-06
2006.262817,0.000000,0.000000,4.500120,0.768096,423.341000,0.000000,2006-04-07
2006.265625,0.000000,0.000000,8.961610,0.000000,423.198000,0.000000,2006-04-08
2006.268311,0.000000,0.000000,12.112100,0.000000,423.057000,0.000000,2006-04-09
2006.270996,0.000000,0.000000,13.721300,0.000000,422.906000,0.000000,2006-04-10
2006.273804,0.000000,0.000000,11.655300,0.000000,422.758000,0.000000,2006-04-11
2006.276489,0.000000,0.000000,10.278200,0.000000,422.600000,0.000000,2006-04-12
2006.279297,0.000000,0.000000,15.125400,0.000000,422.446000,0.000000,2006-04-13
2006.281982,0.000000,0.000000,15.722200,0.000000,422.289000,0.000000,2006-04-14
2006.284790,0.000000,0.000000,13.350400,2.284650,422.122000,0.000000,2006-04-15
2006.287476,0.000000,0.000000,11.722200,0.761492,421.958000,0.000000,2006-04-16
2006.290161,0.000000,0.000000,13.331700,0.000432,421.742000,0.000000,2006-04-17
2006.292969,0.000000,0.000000,6.584090,0.000000,421.480000,0.000000,2006-04-18
2006.295654,0.000000,0.000000,3.833990,0.000000,421.152000,0.000000,2006-04-19
2006.298462,0.000000,0.000000,5.813950,0.000000,420.790000,0.000000,2006-04-20
2006.301147,0.000000,0.000000,10.086900,0.000000,420.385000,0.000000,2006-04-21
2006.303955,0.000000,0.000000,14.128900,0.000000,419.919000,0.000000,2006-04-22
2006.306641,0.000000,0.000000,17.500000,0.000000,419.435000,0.000000,2006-04-23
2006.309326,0.000000,0.000000,12.533100,0.000000,418.895000,0.000000,2006-04-24
2006.312134,0.000000,0.000000,8.111440,0.000000,418.347000,0.000000,2006-04-25
2006.314819,0.000000,0.000000,11.568900,0.000000,417.748000,0.000000,2006-04-26
2006.317627,0.000000,0.000000,14.971300,0.000000,417.151000,0.000000,2006-04-27
2006.320312,0.000000,0.000000,16.388800,0.000000,416.536000,0.000000,2006-04-28
2006.323120,0.000000,0.000000,11.057400,0.000000,415.877000,0.000000,2006-04-29
2006.325806,0.000000,0.000000,12.945000,0.000000,415.233000,0.000000,2006-04-30
2006.328491,0.000000,0.000000,13.538300,0.000000,414.552000,0.000000,2006-05-01
2006.331299,0.000000,0.000000,15.679100,0.000000,413.896000,0.000000,2006-05-02
2006.333984,0.000000,0.000000,17.221800,0.000000,413.209000,0.000000,2006-05-03
2006.336792,0.000000,0.000000,15.812800,0.000000,412.554000,0.000000,2006-05-04
2006.339478,0.000000,0.000000,14.122300,0.000000,411.904000,0.000000,2006-05-05
2006.342285,0.000000,0.000000,11.889600,0.000000,411.235000,0.000000,2006-05-06
2006.344971,0.000000,0.000000,13.056600,0.000000,410.609000,0.000000,2006-05-07
2006.347656,0.000000,0.000000,16.219600,0.000000,409.971000,0.000000,2006-05-08
2006.350464,0.000000,0.000000,14.652100,0.000000,409.382000,0.000000,2006-05-09
2006.353149,0.000000,0.000000,11.612200,0.000000,408.791000,0.000000,2006-05-10
2006.355957,0.000000,0.000000,11.897000,0.000000,408.253000,0.000000,2006-05-11
2006.358643,0.000000,0.000000,15.700200,0.000000,407.746000,0.000000,2006-05-12
2006.361450,0.000000,0.000000,19.542400,0.000000,407.252000,0.000000,2006-05-13
2006.364136,0.000000,0.000000,21.000000,0.000000,406.817000,0.000000,2006-05-14
2006.366821,0.000000,0.000000,19.501500,0.000000,406.407000,0.000000,2006-05-15
2006.369629,0.000000,0.000000,20.731700,0.000000,406.061000,0.000000,2006-05-16
2006.372314,0.000000,0.000000,22.203100,0.000000,405.734000,0.000000,2006-05-17
2006.375122,0.000000,0.000000,23.896300,0.000000,405.427000,0.000000,2006-05-18
2006.377808,0.000000,0.000000,24.222200,0.000000,405.127000,0.000000,2006-05-19
2006.380615,0.000000,0.000000,22.389300,0.000000,404.818000,0.000000,2006-05-20
2006.383301,0.000000,0.000000,22.944800,0.000000,404.529000,0.000000,2006-05-21
2006.385986,0.000000,0.000000,23.388600,0.000000,404.233000,0.000000,2006-05-22
2006.388794,0.000000,0.000000,17.655900,0.000000,403.955000,0.000000,2006-05-23
2006.391479,0.000000,0.000000,16.777900,0.000000,403.671000,0.000000,2006-05-24
2006.394287,0.000000,0.000000,20.710800,0.000000,403.404000,0.000000,2006-05-25
2006.396973,0.000000,0.000000,23.493800,0.000000,403.144000,0.000000,2006-05-26
2006.399780,0.000000,0.000000,24.158800,0.000000,402.878000,0.000000,2006-05-27
2006.402466,0.000000,0.000000,14.995000,0.000000,402.629000,0.000000,2006-05-28
2006.405151,0.000000,0.000000,9.003610,0.000000,402.375000,0.000000,2006-05-29
2006.407959,0.000000,0.000000,11.966800,0.000000,402.137000,0.000000,2006-05-30
2006.410645,0.000000,0.000000,15.302800,0.000000,401.896000,0.000000,2006-05-31
2006.413452,0.000000,0.000000,17.373400,0.000000,401.670000,0.000000,2006-06-01
2006.416138,0.000000,0.000000,22.535700,0.000000,401.450000,0.000000,2006-06-02
2006.418945,0.000000,0.000000,25.166500,0.000000,401.227000,0.000000,2006-06-03
2006.421631,0.000000,0.000000,25.000000,0.000000,401.019000,0.000000,2006-06-04
2006.424316,0.000000,0.000000,25.161200,0.000000,400.808000,0.000000,2006-06-05
2006.427124,0.000000,0.000000,26.622400,0.000000,400.612000,0.000000,2006-06-06
2006.429810,0.000000,0.000000,28.332800,0.000000,400.413000,0.000000,2006-06-07
2006.432617,0.000000,0.000000,26.456100,0.522656,400.229000,0.000000,2006-06-08
2006.435303,0.000000,0.000000,18.061500,5.333570,400.051000,0.000000,2006-06-09
2006.438110,0.000000,0.000000,17.558700,3.506620,399.871000,0.000000,2006-06-10
2006.440796,0.000000,0.000000,21.168800,0.000000,399.705000,0.000000,2006-06-11
2006.443481,0.000000,0.000000,23.554100,0.000000,399.537000,0.000000,2006-06-12
2006.446289,0.000000,0.000000,23.555700,0.000000,399.383000,0.000000,2006-06-13
2006.448975,0.000000,0.000000,24.832800,0.000000,399.228000,0.000000,2006-06-14
2006.451782,0.000000,0.000000,19.099300,0.000000,399.086000,0.000000,2006-06-15
2006.454468,0.000000,0.000000,14.778000,0.000000,398.950000,0.000000,2006-06-16
2006.457275,0.000000,0.000000,16.042500,0.000000,398.807000,0.000000,2006-06-17
2006.459961,0.000000,0.000000,21.336800,0.000000,398.670000,0.000000,2006-06-18
2006.462646,0.000000,0.000000,25.132700,0.000000,398.526000,0.000000,2006-06-19
2006.465454,0.000000,0.000000,26.333000,0.000000,398.389000,0.000000,2006-06-20
2006.468140,0.000000,0.000000,24.389700,0.000000,398.246000,0.000000,2006-06-21
2006.470947,0.000000,0.000000,24.555200,0.000000,398.109000,0.000000,2006-06-22
2006.473633,0.000000,0.000000,23.944500,0.000000,397.974000,0.000000,2006-06-23
2006.476440,0.000000,0.000000,25.298400,0.000000,397.834000,0.000000,2006-06-24
2006.479126,0.000000,0.000000,26.111100,0.000000,397.703000,0.000000,2006-06-25
2006.481812,0.000000,0.000000,25.405300,0.000000,397.567000,0.000000,2006-06-26
2006.484619,0.000000,0.000000,24.222300,0.000000,397.440000,0.000000,2006-06-27
2006.487305,0.000000,0.000000,25.097100,0.000000,397.311000,0.000000,2006-06-28
2006.490112,0.000000,0.000000,26.833200,0.000000,397.190000,0.000000,2006-06-29
2006.492798,0.000000,0.000000,26.500000,0.000000,397.073000,0.000000,2006-06-30
2006.495605,0.000000,0.000000,26.777800,0.000000,396.956000,0.000000,2006-07-01
2006.498291,0.000000,0.000000,26.777800,0.000000,396.847000,0.000000,2006-07-02
2006.500977,0.000000,0.000000,24.335700,0.507492,396.740000,0.000000,2006-07-03
2006.503784,0.000000,0.000000,25.055500,0.252146,396.642000,0.000000,2006-07-04
2006.506470,0.000000,0.000000,24.343400,0.000076,396.545000,0.000000,2006-07-05
2006.509277,0.000000,0.000000,23.314800,0.006985,396.459000,0.000000,2006-07-06
2006.511963,0.000000,0.000000,21.389000,12.698900,396.379000,0.000000,2006-07-07
2006.514771,0.000000,0.000000,22.163300,1.224610,396.302000,0.000000,2006-07-08
2006.517456,0.000000,0.000000,19.333300,0.000000,396.236000,0.000000,2006-07-09
2006.520142,0.000000,0.000000,21.941900,2.283740,396.175000,0.000000,2006-07-10
2006.522949,0.000000,0.000000,21.611100,0.000152,396.124000,0.000000,2006-07-11
2006.525635,0.000000,0.000000,22.101300,1.015570,396.080000,0.000000,2006-07-12
2006.528442,0.000000,0.000000,24.644400,0.000000,396.046000,0.000000,2006-07-13
2006.531128,0.000000,0.000000,26.987600,0.000000,396.022000,0.000000,2006-07-14
2006.533936,0.000000,0.000000,29.194900,0.000000,396.006000,0.000000,2006-07-15
2006.536621,0.000000,0.000000,30.222900,0.000000,396.000000,0.000000,2006-07-16
2006.539307,0.000000,0.000000,30.773000,0.000000,396.002000,0.000000,2006-07-17
2006.542114,0.000000,0.000000,30.944300,0.000000,396.008000,0.000000,2006-07-18
2006.544800,0.000000,0.000000,29.686800,0.000000,396.018000,0.000000,2006-07-19
2006.547607,0.000000,0.000000,27.091400,0.253848,396.031000,0.000000,2006-07-20
2006.550293,0.000000,0.000000,26.111200,0.000025,396.048000,0.000000,2006-07-21
2006.553101,0.000000,0.000000,28.972600,0.000000,396.069000,0.000000,2006-07-22
2006.555786,0.000000,0.000000,29.889500,0.000000,396.092000,0.000000,2006-07-23
2006.558472,0.000000,0.000000,30.388600,0.000000,396.119000,0.000000,2006-07-24
2006.561279,0.000000,0.000000,28.098400,3.047700,396.147000,0.000000,2006-07-25
2006.563965,0.000000,0.000000,26.722600,0.776097,396.179000,0.000000,2006-07-26
2006.566772,0.000000,0.000000,27.284900,0.000000,396.212000,0.000000,2006-07-27
2006.569458,0.000000,0.000000,27.773700,0.000000,396.247000,0.000000,2006-07-28
2006.572266,0.000000,0.000000,29.333200,0.000000,396.285000,0.000000,2006-07-29
2006.574951,0.000000,0.000000,29.055100,0.000000,396.323000,0.000000,2006-07-30
2006.577637,0.000000,0.000000,26.117500,0.000000,396.364000,0.000000,2006-07-31
2006.580444,0.000000,0.000000,22.149500,10.666900,396.405000,0.000000,2006-08-01
2006.583130,0.000000,0.000000,20.500400,2.587730,396.448000,0.000000,2006-08-02
2006.585938,0.000000,0.000000,21.666300,0.001422,396.490000,0.000000,2006-08-03
2006.588623,0.000000,0.000000,20.453500,2.539770,396.533000,0.000000,2006-08-04
2006.591431,0.000000,0.000000,17.725300,2.015460,396.578000,0.000000,2006-08-05
2006.594116,0.000000,0.000000,21.280800,0.508000,396.621000,0.000000,2006-08-06
2006.596802,0.000000,0.000000,23.887300,1.749500,396.666000,0.000000,2006-08-07
2006.599609,0.000000,0.000000,21.777900,3.809390,396.708000,0.000000,2006-08-08
2006.602295,0.000000,0.000000,22.666300,0.001549,396.752000,0.000000,2006-08-09
2006.605103,0.000000,0.000000,22.444600,0.000000,396.793000,0.000000,2006-08-10
2006.607788,0.000000,0.000000,23.105500,0.000000,396.833000,0.000000,2006-08-11
2006.610596,0.000000,0.000000,25.553200,0.761822,396.874000,0.000000,2006-08-12
2006.613281,0.000000,0.000000,23.555600,0.507644,396.912000,0.000000,2006-08-13
2006.615967,0.000000,0.000000,23.664600,0.000381,396.949000,0.000000,2006-08-14
2006.618774,0.000000,0.000000,23.777300,0.000203,396.983000,0.000000,2006-08-15
2006.621460,0.000000,0.000000,21.112200,1.269490,397.017000,0.000000,2006-08-16
2006.624268,0.000000,0.000000,21.340000,0.000000,397.047000,0.000000,2006-08-17
2006.626953,0.000000,0.000000,23.882400,0.000000,397.076000,0.000000,2006-08-18
2006.629761,0.000000,0.000000,24.687700,0.000000,397.104000,0.000000,2006-08-19
2006.632446,0.000000,0.000000,26.055600,0.000000,397.130000,0.000000,2006-08-20
2006.635132,0.000000,0.000000,25.334000,0.000000,397.156000,0.000000,2006-08-21
2006.637939,0.000000,0.000000,26.888800,0.000000,397.179000,0.000000,2006-08-22
2006.640625,0.000000,0.000000,26.343000,0.000000,397.203000,0.000000,2006-08-23
2006.643433,0.000000,0.000000,24.698500,1.269850,397.226000,0.000000,2006-08-24
2006.646118,0.000000,0.000000,22.899300,1.016030,397.248000,0.000000,2006-08-25
2006.648926,0.000000,0.000000,20.676400,1.015850,397.271000,0.000000,2006-08-26
2006.651611,0.000000,0.000000,18.444400,0.761568,397.293000,0.000000,2006-08-27
2006.654297,0.000000,0.000000,18.551700,0.000610,397.316000,0.000000,2006-08-28
2006.657104,0.000000,0.000000,21.686400,0.000000,397.339000,0.000000,2006-08-29
2006.659790,0.000000,0.000000,23.930700,0.000000,397.363000,0.000000,2006-08-30
2006.662598,0.000000,0.000000,24.721700,0.000000,397.388000,0.000000,2006-08-31
2006.665283,0.000000,0.000000,23.777900,0.000000,397.413000,0.000000,2006-09-01
2006.668091,0.000000,0.000000,23.777700,0.000000,397.441000,0.000000,2006-09-02
2006.670776,0.000000,0.000000,23.666400,0.000000,397.469000,0.000000,2006-09-03
2006.673462,0.000000,0.000000,23.111600,0.000000,397.500000,0.000000,2006-09-04
2006.676270,0.000000,0.000000,24.055500,0.000000,397.532000,0.000000,2006-09-05
2006.678955,0.000000,0.000000,23.179100,0.000000,397.567000,0.000000,2006-09-06
2006.681763,0.000000,0.000000,21.805900,0.520548,397.603000,0.000000,2006-09-07
2006.684448,0.000000,0.000000,18.403800,2.793850,397.642000,0.000000,2006-09-08
2006.687256,0.000000,0.000000,15.945200,2.007950,397.685000,0.000000,2006-09-09
2006.689941,0.000000,0.000000,16.890000,0.000025,397.729000,0.000000,2006-09-10
2006.692627,0.000000,0.000000,17.869600,4.060140,397.778000,0.000000,2006-09-11
2006.695435,0.000000,0.000000,19.068500,0.000000,397.828000,0.000000,2006-09-12
2006.698120,0.000000,0.000000,21.997800,0.000000,397.885000,0.000000,2006-09-13
2006.700928,0.000000,0.000000,22.053600,0.006883,397.942000,0.000000,2006-09-14
2006.703613,0.000000,0.000000,17.189700,11.937000,398.004000,0.000000,2006-09-15
2006.706421,0.000000,0.000000,13.006200,1.724630,398.234000,0.000000,2006-09-16
2006.709106,0.000000,0.000000,6.666670,0.253467,398.717000,0.000000,2006-09-17
2006.711792,0.000000,0.000000,7.693020,0.000102,399.478000,0.000000,2006-09-18
2006.714600,0.000000,0.000000,11.358100,0.000000,400.432000,0.000000,2006-09-19
2006.717285,0.000000,0.000000,14.277000,0.000000,401.646000,0.000000,2006-09-20
2006.720093,0.000000,0.000000,10.681300,0.516712,402.997000,0.000000,2006-09-21
2006.722778,0.000000,0.000000,8.231870,1.269950,404.516000,0.000000,2006-09-22
2006.725586,0.000000,0.000000,6.723590,0.749173,406.262000,0.000000,2006-09-23
2006.728271,0.000000,0.000000,8.558230,0.000000,408.067000,0.000000,2006-09-24
2006.730957,0.000000,0.000000,11.121400,0.000000,410.074000,0.000000,2006-09-25
2006.733765,0.000000,0.000000,13.629100,0.000000,412.091000,0.000000,2006-09-26
2006.736450,0.000000,0.000000,15.870400,0.000000,414.282000,0.000000,2006-09-27
2006.739258,0.000000,0.000000,17.132300,0.000000,416.438000,0.000000,2006-09-28
2006.741943,0.000000,0.000000,18.996600,0.000000,418.634000,0.000000,2006-09-29
2006.744751,0.000000,0.000000,19.397500,0.000000,420.954000,0.000000,2006-09-30
2006.747437,0.000000,0.000000,19.833300,0.000000,423.178000,0.000000,2006-10-01
2006.750122,0.000000,0.000000,19.672000,0.000000,425.489000,0.000000,2006-10-02
2006.752930,0.000000,0.000000,18.150600,0.761873,427.667000,0.000000,2006-10-03
2006.755615,0.000000,0.000000,14.893400,0.000305,429.891000,0.000000,2006-10-04
2006.758423,0.000000,0.000000,14.717100,1.049680,431.949000,0.000000,2006-10-05
2006.761108,0.000000,0.000000,12.237000,19.967100,433.921000,0.000000,2006-10-06
2006.763916,0.000000,0.000000,8.780880,39.828900,435.872000,0.000000,2006-10-07
2006.766602,0.000000,0.000000,11.723900,0.000000,437.613000,0.000000,2006-10-08
2006.769287,0.000000,0.000000,12.555200,0.000000,439.284000,0.000000,2006-10-09
2006.772095,0.000000,0.000000,6.889380,8.634760,440.721000,0.000000,2006-10-10
2006.774780,0.000000,0.000000,9.933670,1.038960,442.035000,0.000000,2006-10-11
2006.777588,0.000000,0.000000,10.456900,0.000000,443.093000,0.000000,2006-10-12
2006.780273,0.000000,0.000000,12.666500,0.000000,443.938000,0.000000,2006-10-13
2006.783081,0.000000,0.000000,12.431400,1.317500,444.577000,0.000000,2006-10-14
2006.785767,0.000000,0.000000,8.555570,6.857970,444.933000,0.000000,2006-10-15
2006.788452,0.000000,0.000000,11.552700,0.006426,445.081000,0.000000,2006-10-16
2006.791260,0.000000,0.000000,8.079680,16.508300,445.201000,0.000000,2006-10-17
2006.793945,0.000000,0.000000,3.279130,4.906520,445.322000,0.000000,2006-10-18
2006.796753,0.000000,0.000000,4.296880,0.000000,445.435000,0.000000,2006-10-19
2006.799438,0.000000,0.000000,6.268820,0.000000,445.543000,0.000000,2006-10-20
2006.802246,0.000000,0.000000,7.886480,0.000000,445.653000,0.000000,2006-10-21
2006.804932,0.000000,0.000000,5.944450,0.000000,445.754000,0.000000,2006-10-22
2006.807617,0.000000,0.000000,6.431270,0.000000,445.856000,0.000000,2006-10-23
2006.810425,0.000000,0.000000,7.895550,0.000152,445.950000,0.000000,2006-10-24
2006.813110,0.000000,0.000000,8.499870,1.500860,446.044000,0.000000,2006-10-25
2006.815918,0.000000,0.000000,4.666710,4.569280,446.130000,0.000000,2006-10-26
2006.818604,0.000000,0.000000,4.831850,0.000330,446.212000,0.000000,2006-10-27
2006.821411,0.000000,0.000000,6.313140,0.000000,446.293000,0.000000,2006-10-28
2006.824097,0.000000,0.000000,8.278210,0.000000,446.368000,0.000000,2006-10-29
2006.826782,0.000000,0.000000,8.440240,0.000000,446.441000,0.000000,2006-10-30
2006.829590,0.000000,0.000000,8.888670,0.000000,446.507000,0.000000,2006-10-31
2006.832275,0.000000,0.000000,7.452520,0.000000,446.572000,0.000000,2006-11-01
2006.835083,0.000000,0.000000,6.997490,0.000000,446.630000,0.000000,2006-11-02
2006.837769,0.000000,0.000000,6.888890,0.000000,446.683000,0.000000,2006-11-03
2006.840576,0.000000,0.000000,9.111080,0.000000,446.735000,0.000000,2006-11-04
2006.843262,0.000000,0.000000,9.055400,0.000000,446.781000,0.000000,2006-11-05
2006.845947,0.000000,0.000000,8.167460,0.000000,446.824000,0.000000,2006-11-06
2006.848755,0.000000,0.000000,9.509990,0.000000,446.861000,0.000000,2006-11-07
2006.851440,0.000000,0.000000,10.714700,0.000000,446.895000,0.000000,2006-11-08
2006.854248,0.000000,0.000000,11.165100,0.000000,446.923000,0.000000,2006-11-09
2006.856934,0.000000,0.000000,7.515800,0.000000,446.947000,0.000000,2006-11-10
2006.859741,0.000000,0.000000,4.594880,0.000635,446.967000,0.000000,2006-11-11
2006.862427,0.000000,0.000000,0.500013,0.508000,446.982000,0.000000,2006-11-12
2006.865112,0.000000,0.000000,3.296540,0.000457,446.993000,0.000000,2006-11-13
2006.867920,0.000000,0.000000,4.887950,0.512013,446.998000,0.000000,2006-11-14
2006.870605,0.000000,0.000000,-0.220294,1.015870,446.998000,0.000000,2006-11-15
2006.873413,0.000000,0.000000,2.246540,0.000000,446.950000,0.000000,2006-11-16
2006.876099,0.000000,0.000000,3.547170,0.000000,446.838000,0.000000,2006-11-17
2006.878906,0.000000,0.000000,6.045990,0.000000,446.659000,0.000000,2006-11-18
2006.881592,0.000000,0.000000,7.999990,0.000000,446.432000,0.000000,2006-11-19
